match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country
451637,2023-09-19 16:45:00+00:00,GROUP_STAGE,BSC Young Boys,RB Leipzig,1,3,0,Switzerland,Germany
451623,2023-09-19 16:45:00+00:00,GROUP_STAGE,AC Milan,Newcastle United FC,0,0,1,Italy,England
451614,2023-09-19 19:00:00+00:00,GROUP_STAGE,SS Lazio,Club Atlético de Madrid,1,1,1,Italy,Spain
451616,2023-09-19 19:00:00+00:00,GROUP_STAGE,Feyenoord Rotterdam,Celtic FC,2,0,2,Netherlands,Scotland
451630,2023-09-19 19:00:00+00:00,GROUP_STAGE,Paris Saint-Germain FC,Borussia Dortmund,2,0,2,France,Germany
451640,2023-09-19 19:00:00+00:00,GROUP_STAGE,Manchester City FC,FK Crvena Zvezda,3,1,2,England,Serbia
451647,2023-09-19 19:00:00+00:00,GROUP_STAGE,FC Barcelona,Royal Antwerp FC,5,0,2,Spain,Belgium
451654,2023-09-19 19:00:00+00:00,GROUP_STAGE,FK Shakhtar Donetsk,FC Porto,1,3,0,Ukraine,Portugal
451568,2023-09-20 16:45:00+00:00,GROUP_STAGE,Galatasaray SK,FC København,2,2,1,Turkey,Denmark
451586,2023-09-20 16:45:00+00:00,GROUP_STAGE,Real Madrid CF,1. FC Union Berlin,1,0,2,Spain,Germany
451584,2023-09-20 19:00:00+00:00,GROUP_STAGE,Sevilla FC,Racing Club de Lens,1,1,1,Spain,France
451595,2023-09-20 19:00:00+00:00,GROUP_STAGE,Sporting Clube de Braga,SSC Napoli,1,2,0,Portugal,Italy
451600,2023-09-20 19:00:00+00:00,GROUP_STAGE,Real Sociedad de Fútbol,FC Internazionale Milano,1,1,1,Spain,Italy
451606,2023-09-20 19:00:00+00:00,GROUP_STAGE,Sport Lisboa e Benfica,FC Red Bull Salzburg,0,2,0,Portugal,Austria
451565,2023-09-20 19:00:00+00:00,GROUP_STAGE,FC Bayern München,Manchester United FC,4,3,2,Germany,England
451573,2023-09-20 19:00:00+00:00,GROUP_STAGE,Arsenal FC,PSV,4,0,2,England,Netherlands
451603,2023-10-03 16:45:00+00:00,GROUP_STAGE,FC Red Bull Salzburg,Real Sociedad de Fútbol,0,2,0,Austria,Spain
451587,2023-10-03 16:45:00+00:00,GROUP_STAGE,1. FC Union Berlin,Sporting Clube de Braga,2,3,0,Germany,Portugal
451594,2023-10-03 19:00:00+00:00,GROUP_STAGE,SSC Napoli,Real Madrid CF,2,3,0,Italy,Spain
451601,2023-10-03 19:00:00+00:00,GROUP_STAGE,FC Internazionale Milano,Sport Lisboa e Benfica,1,0,2,Italy,Portugal
451562,2023-10-03 19:00:00+00:00,GROUP_STAGE,FC København,FC Bayern München,1,2,0,Denmark,Germany
451572,2023-10-03 19:00:00+00:00,GROUP_STAGE,Manchester United FC,Galatasaray SK,2,3,0,England,Turkey
451576,2023-10-03 19:00:00+00:00,GROUP_STAGE,Racing Club de Lens,Arsenal FC,2,1,2,France,England
451581,2023-10-03 19:00:00+00:00,GROUP_STAGE,PSV,Sevilla FC,2,2,1,Netherlands,Spain
451611,2023-10-04 16:45:00+00:00,GROUP_STAGE,Club Atlético de Madrid,Feyenoord Rotterdam,3,2,2,Spain,Netherlands
451655,2023-10-04 16:45:00+00:00,GROUP_STAGE,Royal Antwerp FC,FK Shakhtar Donetsk,2,3,0,Belgium,Ukraine
